track_id,name,car_bbox,confidence,recorded_time,entry_point,exit_point
14,two_wheelersrotation,"{'x1': 721.3241, 'y1': 0.0, 'x2': 823.07312, 'y2': 37.13979}",0.76118,2024-09-17 12:28:26,,
14,two_wheelersrotation,"{'x1': 722.29883, 'y1': 0.01372, 'x2': 824.52887, 'y2': 38.37939}",0.61639,2024-09-17 12:28:27,,
14,two_wheelersrotation,"{'x1': 722.60638, 'y1': 0.0, 'x2': 825.03888, 'y2': 38.81604}",0.62333,2024-09-17 12:28:28,,
14,two_wheelersrotation,"{'x1': 723.59241, 'y1': 0.00545, 'x2': 826.16486, 'y2': 40.14285}",0.8136,2024-09-17 12:28:28,,
14,two_wheelersrotation,"{'x1': 723.93658, 'y1': 0.0, 'x2': 826.49371, 'y2': 40.6203}",0.81281,2024-09-17 12:28:29,,
14,two_wheelersrotation,"{'x1': 724.13202, 'y1': 0.0, 'x2': 828.29535, 'y2': 42.85018}",0.80298,2024-09-17 12:28:30,,
14,two_wheelersrotation,"{'x1': 724.19794, 'y1': 0.0, 'x2': 828.95276, 'y2': 43.65335}",0.7999,2024-09-17 12:28:30,,
14,two_wheelersrotation,"{'x1': 723.48083, 'y1': 0.01331, 'x2': 829.62225, 'y2': 45.39452}",0.77822,2024-09-17 12:28:31,,
14,two_wheelersrotation,"{'x1': 723.034, 'y1': 0.0, 'x2': 829.94611, 'y2': 46.08506}",0.79073,2024-09-17 12:28:32,,
14,two_wheelersrotation,"{'x1': 724.67499, 'y1': 0.01871, 'x2': 830.65131, 'y2': 47.19659}",0.77298,2024-09-17 12:28:32,,
14,two_wheelersrotation,"{'x1': 725.31433, 'y1': 0.0, 'x2': 830.88904, 'y2': 47.56649}",0.77534,2024-09-17 12:28:33,,
14,two_wheelersrotation,"{'x1': 724.74329, 'y1': 0.0204, 'x2': 831.30298, 'y2': 49.25686}",0.73428,2024-09-17 12:28:34,,
14,two_wheelersrotation,"{'x1': 724.55322, 'y1': 0.0, 'x2': 831.44611, 'y2': 49.8939}",0.72547,2024-09-17 12:28:34,,
14,two_wheelersrotation,"{'x1': 724.84698, 'y1': 0.01581, 'x2': 833.10535, 'y2': 52.02546}",0.75613,2024-09-17 12:28:35,,
14,two_wheelersrotation,"{'x1': 724.94391, 'y1': 0.0, 'x2': 833.71881, 'y2': 52.80701}",0.75828,2024-09-17 12:28:36,,
14,two_wheelersrotation,"{'x1': 727.6098, 'y1': 0.22537, 'x2': 835.34802, 'y2': 55.87684}",0.49908,2024-09-17 12:28:36,West,
14,two_wheelersrotation,"{'x1': 728.60498, 'y1': 0.293, 'x2': 835.89551, 'y2': 57.00203}",0.50012,2024-09-17 12:28:37,West,West
14,two_wheelersrotation,"{'x1': 729.77899, 'y1': 0.13312, 'x2': 837.80664, 'y2': 58.89445}",0.78022,2024-09-17 12:28:38,West,West
14,two_wheelersrotation,"{'x1': 730.19849, 'y1': 0.0561, 'x2': 838.49939, 'y2': 59.58173}",0.78072,2024-09-17 12:28:38,West,West
14,two_wheelersrotation,"{'x1': 729.58612, 'y1': 0.02565, 'x2': 839.90411, 'y2': 61.54217}",0.61597,2024-09-17 12:28:39,West,West
14,two_wheelersrotation,"{'x1': 729.30505, 'y1': 0.0, 'x2': 840.40082, 'y2': 62.25581}",0.6128,2024-09-17 12:28:40,West,West
14,two_wheelersrotation,"{'x1': 729.3443, 'y1': 0.16765, 'x2': 841.56879, 'y2': 62.55708}",0.71715,2024-09-17 12:28:40,West,West
14,two_wheelersrotation,"{'x1': 729.33014, 'y1': 0.23217, 'x2': 841.94312, 'y2': 62.62886}",0.71449,2024-09-17 12:28:41,West,West
14,autorotation,"{'x1': 732.23608, 'y1': 0.35149, 'x2': 843.83124, 'y2': 66.40022}",0.1237,2024-09-17 12:28:42,West,West
14,autorotation,"{'x1': 733.31281, 'y1': 0.3855, 'x2': 844.50208, 'y2': 67.81514}",0.12055,2024-09-17 12:28:42,West,West
14,two_wheelersrotation,"{'x1': 732.70831, 'y1': 0.63259, 'x2': 846.7373, 'y2': 70.16518}",0.75707,2024-09-17 12:28:43,West,West
14,two_wheelersrotation,"{'x1': 732.51514, 'y1': 0.70732, 'x2': 847.5473, 'y2': 70.93506}",0.75944,2024-09-17 12:28:44,West,West
14,two_wheelersrotation,"{'x1': 731.0304, 'y1': 0.2892, 'x2': 849.05182, 'y2': 73.30832}",0.83526,2024-09-17 12:28:44,West,West
14,two_wheelersrotation,"{'x1': 730.45239, 'y1': 0.09342, 'x2': 849.57495, 'y2': 74.16991}",0.83535,2024-09-17 12:28:45,West,West
14,two_wheelersrotation,"{'x1': 731.60742, 'y1': 0.36197, 'x2': 851.20947, 'y2': 76.24726}",0.84335,2024-09-17 12:28:46,West,West
14,two_wheelersrotation,"{'x1': 732.03027, 'y1': 0.41682, 'x2': 851.79626, 'y2': 77.04223}",0.84113,2024-09-17 12:28:46,West,West
14,two_wheelersrotation,"{'x1': 735.56482, 'y1': 0.59221, 'x2': 853.1958, 'y2': 79.00796}",0.82167,2024-09-17 12:28:47,West,West
14,two_wheelersrotation,"{'x1': 736.87885, 'y1': 0.6347, 'x2': 853.70544, 'y2': 79.7042}",0.82098,2024-09-17 12:28:48,West,West
14,carrotation,"{'x1': 736.98236, 'y1': 0.49673, 'x2': 854.20807, 'y2': 79.74477}",0.57749,2024-09-17 12:28:48,West,West
